,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Mexican Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.0675,0.0795,0.1625,0.08,-0.08,0,0.11,-0.22,-0.05,0.07,0.33,-0.09,0.11,0.3,0.63,0.08,0.16,0.51,0.16,0.57,0.51,0.6,0.49,0.72,0.72,0.68,0.4,0.75,0.96,1,U.S. Direct Real Estate,,,,,,,,,
Alts,U.S. Direct Real Estate,0.04,0.0505,0.15,0.0425,0,-0.07,0.08,0.01,0.05,0.1,0.17,0.04,0.04,0.06,0.14,0.09,0.1,0.13,0.09,0.14,0.26,0.28,0.27,0.2,0.18,0.17,0.13,0.21,0.15,0.14,1,U.S. Value Added Real Estate,,,,,,,,
Alts,U.S. Value Added Real Estate,0.0525,0.0654,0.1675,0.0575,0,-0.07,0.09,0.01,0.04,0.1,0.18,0.03,0.04,0.06,0.15,0.1,0.1,0.13,0.09,0.15,0.27,0.3,0.29,0.22,0.19,0.18,0.14,0.22,0.16,0.15,0.95,1,European Direct Real Estate,,,,,,,
Alts,European Direct Real Estate,0.045,0.0552,0.1475,0.05,-0.02,-0.06,0.03,-0.1,-0.03,0.01,0.16,-0.02,0.03,0.1,0.26,0,0.04,0.12,0.05,0.22,0.33,0.34,0.3,0.4,0.35,0.36,0.21,0.39,0.28,0.29,0.3,0.29,1,U.S. REITs,,,,,,
Alts,U.S. REITs,0.05,0.0595,0.1425,0.0475,-0.01,-0.17,0.21,0.05,0.13,0.27,0.45,0.11,0.11,0.16,0.35,0.24,0.27,0.33,0.23,0.34,0.64,0.69,0.67,0.51,0.45,0.43,0.33,0.52,0.37,0.35,0.4,0.43,0.28,1,Global Infrastructure,,,,,
Alts,Global Infrastructure,0.05,0.0615,0.1575,0.05,0.1,-0.07,-0.03,0.03,0.06,0.08,0.16,0.08,0.06,0.09,0.14,0.01,0.09,0.09,0.1,0.12,0.3,0.29,0.27,0.22,0.2,0.21,0.16,0.23,0.16,0.15,0.3,0.29,0.15,0.25,1,Private Equity,,,,
Alts,Private Equity,0.06,0.0756,0.185,0.0675,-0.05,-0.19,-0.07,-0.05,0.08,0.15,0.47,0.13,0.18,0.33,0.61,-0.04,0.23,0.29,0.26,0.4,0.79,0.82,0.73,0.82,0.76,0.77,0.5,0.82,0.61,0.62,0.22,0.24,0.34,0.56,0.24,1,Diversified Hedge Funds,,,
Alts,Diversified Hedge Funds,0.03,0.0369,0.12,0.0225,-0.1,-0.21,-0.47,0.85,0.83,0.68,0.7,0.92,0.51,0.48,0.23,-0.1,0.71,0.24,0.77,-0.41,0.38,0.3,0.19,0.13,0.11,0.26,0.4,0.19,0.08,0.01,0.01,0.01,0.01,0.04,0.08,0.2,1,Mezzanine Debt,,
Alts,Mezzanine Debt,0.0475,0.054,0.1175,0.0525,-0.05,-0.14,-0.07,0.59,0.72,0.76,0.88,0.68,0.43,0.51,0.56,0.32,0.83,0.49,0.86,-0.09,0.52,0.53,0.4,0.41,0.37,0.48,0.48,0.47,0.4,0.32,0.16,0.17,0.15,0.42,0.16,0.44,0.58,1,Commodities,
Alts,Commodities,0.025,0.0347,0.1425,0.025,-0.14,-0.13,-0.22,0.11,0.16,0.16,0.3,0.16,0.29,0.4,0.41,-0.12,0.21,0.31,0.27,0.05,0.19,0.25,0.14,0.29,0.28,0.39,0.1,0.29,0.3,0.37,0.01,0.01,0.08,0.03,0.03,0.25,0.26,0.26,1,Gold
Alts,Gold,0.0275,0.0448,0.1925,0.0275,0.01,-0.02,0.04,0.46,0.43,0.42,0.22,0.31,0.41,0.38,0.13,0.29,0.45,0.41,0.42,-0.19,-0.12,-0.09,-0.16,-0.11,-0.06,-0.05,-0.07,-0.1,0.03,0.04,-0.02,-0.02,-0.08,-0.03,-0.03,-0.09,0.31,0.28,0.44,1
