,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Swiss Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap Growth,0.045,0.0562,0.155,0.055,0.13,-0.27,-0.44,-0.16,-0.26,-0.07,-0.01,0.06,0.27,0.44,0.49,0.47,-0.28,0.3,-0.38,0.19,0.2,0.61,0.29,0.98,0.93,1,U.S. Mid Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Mid Cap,0.05,0.063,0.1675,0.06,0.15,-0.27,-0.46,-0.16,-0.26,-0.09,-0.03,0.09,0.29,0.51,0.53,0.51,-0.29,0.21,-0.39,0.11,0.23,0.59,0.33,0.96,0.95,0.96,1,U.S. Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Small Cap,0.05,0.067,0.1925,0.0625,0.15,-0.23,-0.47,-0.23,-0.3,-0.14,-0.08,0.02,0.22,0.46,0.45,0.46,-0.32,0.15,-0.4,0.07,0.17,0.53,0.25,0.9,0.91,0.89,0.95,1,European Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,European Large Cap,0.0575,0.0696,0.1625,0.0625,0.11,-0.24,-0.41,-0.08,-0.12,-0.06,0.03,0.24,0.41,0.61,0.67,0.55,-0.28,0.04,-0.39,-0.13,0.44,0.59,0.5,0.83,0.81,0.82,0.82,0.74,1,European Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,European Small Cap,0.06,0.0752,0.1825,0.07,0.11,-0.29,-0.46,-0.12,-0.14,-0.12,-0.02,0.22,0.4,0.63,0.71,0.56,-0.34,-0.02,-0.44,-0.17,0.4,0.49,0.5,0.75,0.73,0.77,0.78,0.72,0.93,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.06,0.0764,0.19,0.065,0.11,-0.21,-0.38,-0.06,-0.09,-0.06,0.01,0.23,0.37,0.6,0.65,0.54,-0.27,-0.02,-0.37,-0.19,0.45,0.55,0.49,0.76,0.75,0.76,0.76,0.7,0.98,0.9,1,Euro area Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Small Cap,0.0625,0.0797,0.195,0.07,0.11,-0.25,-0.41,-0.08,-0.09,-0.08,0,0.24,0.38,0.62,0.7,0.54,-0.3,-0.06,-0.39,-0.22,0.44,0.48,0.51,0.69,0.68,0.71,0.73,0.66,0.92,0.97,0.93,1,UK Large Cap,,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap,0.055,0.0668,0.16,0.0675,0.1,-0.25,-0.45,-0.1,-0.17,-0.08,0.01,0.22,0.41,0.58,0.65,0.55,-0.31,0.14,-0.42,0,0.38,0.62,0.46,0.84,0.82,0.84,0.82,0.73,0.95,0.87,0.87,0.82,1,UK Small Cap,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Small Cap,0.0575,0.0743,0.1925,0.0725,0.08,-0.31,-0.49,-0.17,-0.2,-0.14,-0.03,0.17,0.39,0.56,0.65,0.54,-0.36,0.05,-0.46,-0.07,0.3,0.47,0.42,0.75,0.72,0.77,0.77,0.71,0.85,0.94,0.78,0.84,0.87,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.055,0.0657,0.1525,0.05,0.07,-0.26,-0.41,-0.1,-0.22,-0.03,0.04,0.17,0.31,0.37,0.41,0.44,-0.24,0.21,-0.34,0.14,0.17,0.53,0.29,0.71,0.69,0.7,0.68,0.61,0.66,0.61,0.6,0.57,0.69,0.62,1,AC Asia ex-Japan Equity,,,,,,,,,,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.075,0.0896,0.18,0.085,0.1,-0.15,-0.34,0.02,-0.03,-0.02,0.07,0.33,0.44,0.62,0.63,0.51,-0.2,0.04,-0.31,-0.1,0.49,0.67,0.56,0.68,0.65,0.7,0.69,0.62,0.75,0.73,0.72,0.71,0.74,0.67,0.56,1,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.0725,0.0875,0.1825,0.085,0.17,-0.14,-0.36,-0.01,-0.03,-0.07,0.02,0.31,0.42,0.64,0.66,0.51,-0.25,0,-0.34,-0.14,0.53,0.71,0.59,0.68,0.65,0.7,0.7,0.63,0.78,0.76,0.75,0.75,0.77,0.69,0.55,0.97,1,AC World Equity,,,,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.0525,0.0626,0.1475,0.06,0.14,-0.26,-0.46,-0.12,-0.2,-0.06,0.02,0.18,0.38,0.56,0.61,0.53,-0.29,0.19,-0.41,0.05,0.35,0.68,0.44,0.95,0.93,0.95,0.94,0.86,0.93,0.87,0.88,0.83,0.93,0.83,0.75,0.81,0.83,1,AC World ex-EMU Equity,,,,,,,,,,,,,,,,,,
Equities,AC World ex-EMU Equity,0.0525,0.0623,0.145,0.06,0.15,-0.27,-0.46,-0.13,-0.22,-0.06,0.02,0.16,0.37,0.54,0.59,0.51,-0.29,0.22,-0.41,0.09,0.33,0.69,0.42,0.96,0.94,0.96,0.95,0.87,0.91,0.84,0.84,0.79,0.92,0.82,0.76,0.81,0.82,1,1,Developed World Equity,,,,,,,,,,,,,,,,,
Equities,Developed World Equity,0.0525,0.0626,0.1475,0.0575,0.13,-0.27,-0.46,-0.14,-0.22,-0.06,0.02,0.15,0.36,0.53,0.58,0.51,-0.29,0.22,-0.41,0.08,0.31,0.66,0.4,0.97,0.95,0.96,0.95,0.87,0.93,0.86,0.87,0.82,0.93,0.83,0.76,0.77,0.78,1,0.99,1,Global Convertible Bond hedged,,,,,,,,,,,,,,,,
Equities,Global Convertible Bond hedged,0.03,0.0346,0.0975,-,0.07,-0.18,-0.34,0.07,0.07,-0.06,0.06,0.45,0.54,0.82,0.81,0.67,-0.24,-0.32,-0.33,-0.45,0.62,0.41,0.71,0.58,0.56,0.61,0.66,0.59,0.81,0.82,0.81,0.83,0.74,0.72,0.5,0.76,0.79,0.74,0.71,0.71,1,Global Credit Sensitive Convertible Bond hedged,,,,,,,,,,,,,,,
Equities,Global Credit Sensitive Convertible Bond hedged,0.0225,0.0244,0.0625,-,0.06,-0.27,-0.12,0,-0.02,0.02,0.11,0.21,0.36,0.3,0.4,0.22,-0.08,-0.18,-0.14,-0.21,0.22,0.1,0.3,0.21,0.22,0.19,0.21,0.18,0.37,0.36,0.35,0.37,0.34,0.3,0.18,0.24,0.27,0.29,0.27,0.28,0.41,1,Private Equity,,,,,,,,,,,,,,
Alts,Private Equity,0.065,0.0839,0.205,0.0725,0.12,-0.23,-0.34,-0.11,-0.17,-0.07,0,0.15,0.32,0.51,0.54,0.48,-0.26,0.11,-0.35,-0.01,0.3,0.53,0.37,0.81,0.79,0.81,0.82,0.76,0.82,0.77,0.78,0.74,0.8,0.73,0.61,0.65,0.67,0.85,0.84,0.85,0.66,0.26,1,U.S. REITs,,,,,,,,,,,,,
