,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Australian Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Developed World Equity hedged,0.065,0.0734,0.135,0.075,-0.18,-0.34,-0.18,0.05,0.32,0.67,0.45,0.4,0.64,0.38,-0.4,-0.22,-0.63,0.54,-0.01,0.45,0.83,0.48,0.74,0.6,0.25,0.64,0.73,1,AC World Equity,,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.0675,0.0726,0.105,0.07,-0.15,-0.08,-0.08,-0.13,0.04,0.39,0.31,0.2,0.46,0.11,0.23,-0.24,0.02,0.12,0.33,0.17,0.57,0.92,0.85,0.87,0.65,0.65,0.64,0.68,1,AC World Equity hedged,,,,,,,,,,,,,,,,
Equities,AC World Equity hedged,0.0675,0.0785,0.155,0.0775,-0.13,-0.4,-0.24,0.05,0.32,0.69,0.43,0.38,0.64,0.38,-0.54,-0.23,-0.71,0.59,-0.11,0.5,0.82,0.3,0.67,0.51,0.1,0.62,0.74,0.96,0.55,1,Private Equity,,,,,,,,,,,,,,,
Alts,Private Equity,0.08,0.0961,0.19,0.0825,-0.16,-0.02,-0.03,-0.02,0.13,0.41,0.33,0.24,0.42,0.14,0.19,-0.15,0.01,0.16,0.29,0.15,0.51,0.78,0.79,0.74,0.52,0.53,0.53,0.62,0.86,0.5,1,Private Equity hedged,,,,,,,,,,,,,,
Alts,Private Equity hedged,0.08,0.0995,0.21,0.09,-0.18,-0.17,-0.12,0.05,0.25,0.56,0.41,0.36,0.55,0.28,-0.14,-0.15,-0.32,0.39,0.13,0.32,0.69,0.6,0.82,0.69,0.33,0.57,0.63,0.84,0.76,0.79,0.7,1,U.S. REITs,,,,,,,,,,,,,
Alts,U.S. REITs,0.07,0.079,0.14,0.0625,-0.11,0.19,0.15,0.17,0.22,0.31,0.21,0.21,0.24,0.25,0.21,0.12,0.12,0.21,0.37,0.12,0.37,0.62,0.5,0.39,0.37,0.33,0.29,0.43,0.6,0.32,0.57,0.47,1,U.S. REITs hedged,,,,,,,,,,,,
Alts,U.S. REITs hedged,0.07,0.0816,0.16,0.07,-0.12,-0.1,-0.03,0.2,0.35,0.58,0.35,0.34,0.45,0.38,-0.32,0.05,-0.4,0.5,0.06,0.33,0.62,0.31,0.48,0.29,0.07,0.39,0.45,0.7,0.42,0.71,0.42,0.58,0.79,1,Global ex-U.S. REITs,,,,,,,,,,,
Alts,Global ex-U.S. REITs,0.0875,0.1008,0.1725,0.06,-0.23,-0.01,0.05,0.05,0.19,0.41,0.26,0.29,0.44,0.25,0.16,-0.04,0.02,0.26,0.28,0.2,0.47,0.55,0.74,0.66,0.37,0.42,0.41,0.51,0.68,0.46,0.63,0.61,0.65,0.56,1,Global ex-U.S. REITs hedged,,,,,,,,,,
Alts,Global ex-U.S. REITs hedged,0.085,0.0983,0.1725,0.065,-0.23,-0.13,0.07,0.12,0.34,0.56,0.34,0.45,0.59,0.43,-0.15,-0.03,-0.34,0.47,0.12,0.36,0.63,0.39,0.61,0.56,0.24,0.47,0.51,0.69,0.56,0.65,0.52,0.63,0.59,0.7,0.87,1,U.S. Direct Real Estate,,,,,,,,,
Alts,U.S. Direct Real Estate,0.06,0.0649,0.1025,0.0575,-0.04,0.09,0.07,0.07,0.09,0.12,0.08,0.08,0.09,0.1,0.11,0.06,0.07,0.07,0.16,0.04,0.14,0.25,0.2,0.16,0.16,0.13,0.11,0.16,0.24,0.11,0.23,0.18,0.4,0.3,0.26,0.23,1,U.S. Direct Real Estate hedged,,,,,,,,
Alts,U.S. Direct Real Estate hedged,0.06,0.0654,0.1075,0.065,-0.04,-0.06,-0.03,0.04,0.1,0.21,0.13,0.11,0.17,0.12,-0.14,-0.01,-0.16,0.17,0.01,0.11,0.25,0.13,0.19,0.12,0.03,0.15,0.17,0.28,0.17,0.28,0.17,0.23,0.32,0.4,0.23,0.27,0.12,1,Global Infrastructure,,,,,,,
Alts,Global Infrastructure,0.07,0.0775,0.1275,0.065,-0.06,0.04,0.02,-0.03,0,0.07,0.07,0.04,0.08,0.01,0.12,-0.03,0.07,0,0.12,0.01,0.12,0.3,0.21,0.22,0.19,0.13,0.12,0.15,0.28,0.1,0.24,0.19,0.24,0.15,0.19,0.15,0.3,0.06,1,Diversified Hedge Funds hedged,,,,,,
Alts,Diversified Hedge Funds hedged,0.05,0.0527,0.075,0.045,-0.07,-0.3,0.01,0.07,0.31,0.52,0.33,0.35,0.54,0.38,-0.31,-0.25,-0.57,0.42,-0.1,0.33,0.6,0.21,0.48,0.44,0.17,0.52,0.62,0.72,0.45,0.7,0.43,0.57,0.12,0.33,0.29,0.49,0.04,0.12,0.06,1,Event Driven Hedge Funds hedged,,,,,
Alts,Event Driven Hedge Funds hedged,0.055,0.0588,0.09,0.0575,-0.1,-0.33,-0.09,0.05,0.33,0.71,0.46,0.41,0.7,0.37,-0.39,-0.29,-0.62,0.5,-0.08,0.48,0.68,0.26,0.57,0.48,0.15,0.57,0.69,0.82,0.5,0.82,0.49,0.67,0.24,0.5,0.38,0.58,0.08,0.19,0.08,0.87,1,Long Bias Hedge Funds hedged,,,,
Alts,Long Bias Hedge Funds hedged,0.055,0.0602,0.105,0.055,-0.13,-0.48,-0.26,-0.04,0.26,0.71,0.47,0.36,0.69,0.31,-0.56,-0.36,-0.75,0.49,-0.2,0.46,0.75,0.23,0.57,0.47,0.09,0.64,0.77,0.88,0.49,0.92,0.46,0.7,0.17,0.56,0.33,0.55,0.05,0.22,0.07,0.82,0.91,1,Relative Value Hedge Funds hedged,,,
Alts,Relative Value Hedge Funds hedged,0.0525,0.0548,0.07,0.0525,-0.02,-0.33,-0.02,0.13,0.42,0.72,0.47,0.45,0.7,0.49,-0.33,-0.26,-0.62,0.56,-0.05,0.49,0.61,0.16,0.46,0.44,0.13,0.55,0.65,0.72,0.42,0.72,0.4,0.56,0.2,0.43,0.33,0.56,0.07,0.16,0.05,0.88,0.91,0.82,1,Macro Hedge Funds hedged,,
Alts,Macro Hedge Funds hedged,0.045,0.0477,0.075,0.05,0.12,-0.02,0.07,0.19,0.27,0.15,-0.02,0.19,0.11,0.24,-0.23,0.15,-0.27,0.23,-0.09,0.18,0.17,-0.18,0.08,0,-0.09,0.14,0.21,0.25,-0.03,0.3,-0.01,0.14,-0.1,0.12,-0.06,0.12,-0.05,0.04,-0.05,0.53,0.35,0.37,0.31,1,Commodities,
Alts,Commodities,0.045,0.0515,0.1175,0.04,-0.06,-0.06,0.01,-0.02,0.02,0.12,-0.02,-0.03,0.07,-0.02,0.1,-0.18,0.05,-0.04,0.01,0.05,0.01,0.08,0.08,0.22,0.01,0.06,0.12,0.02,0.14,0.02,0.15,0.09,-0.07,-0.13,0.05,-0.02,-0.03,-0.06,0.01,0.27,0.24,0.16,0.22,0.19,1,Gold
Alts,Gold,0.0475,0.062,0.1775,0.0425,0.13,0.4,0.22,0.19,0.04,-0.28,-0.29,-0.09,-0.31,-0.02,0.37,0.26,0.49,-0.14,0.26,-0.11,-0.41,-0.14,-0.29,-0.18,-0.12,-0.2,-0.25,-0.48,-0.22,-0.47,-0.19,-0.36,-0.08,-0.31,-0.18,-0.3,-0.02,-0.13,-0.04,-0.23,-0.33,-0.37,-0.28,0.15,0.34,1
