,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Canadian Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.055,0.0629,0.13,0.045,-0.06,-0.15,0.29,0.24,0.1,-0.13,0.07,0.26,0.32,-0.01,0.15,0.02,0.16,0.39,0.24,0.17,0.57,0.32,0.53,0.44,0.55,0.56,0.56,1,UK Large Cap,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap,0.055,0.0626,0.1275,0.0625,0.06,-0.17,0.31,0.09,0.21,-0.25,0.04,0.54,0.47,-0.15,-0.13,-0.1,0.4,0.37,0.47,0.59,0.75,0.69,0.7,0.58,0.71,0.74,0.93,0.53,1,Developed World Equity,,,,,,,,,,,,,,,,,
Equities,Developed World Equity,0.0525,0.0584,0.1125,0.0525,0.06,-0.2,0.28,0.16,0.19,-0.22,0.05,0.52,0.47,-0.1,-0.05,-0.04,0.37,0.44,0.42,0.56,0.94,0.77,0.91,0.8,0.91,0.92,0.93,0.66,0.88,1,Developed World Equity hedged,,,,,,,,,,,,,,,,
Equities,Developed World Equity hedged,0.055,0.0632,0.1325,0.065,0.09,-0.19,0.15,-0.06,0.09,-0.38,-0.04,0.72,0.57,-0.27,-0.54,-0.2,0.53,0.17,0.58,0.79,0.71,0.97,0.75,0.7,0.72,0.69,0.79,0.41,0.75,0.81,1,EAFE Equity,,,,,,,,,,,,,,,
Equities,EAFE Equity,0.055,0.0632,0.1325,0.055,0.04,-0.14,0.34,0.19,0.19,-0.17,0.12,0.55,0.5,-0.07,-0.04,-0.03,0.47,0.51,0.5,0.55,0.79,0.7,0.77,0.65,0.76,0.79,0.98,0.7,0.91,0.95,0.78,1,EAFE Equity hedged,,,,,,,,,,,,,,
Equities,EAFE Equity hedged,0.06,0.0687,0.1375,0.065,0.04,-0.17,0.17,-0.04,0.07,-0.4,-0.04,0.69,0.6,-0.26,-0.53,-0.18,0.51,0.2,0.56,0.73,0.68,0.88,0.72,0.65,0.68,0.67,0.83,0.52,0.79,0.81,0.96,0.83,1,Emerging Markets Equity,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.0725,0.0838,0.1575,0.08,0.12,-0.04,0.34,0.16,0.28,-0.15,0.16,0.63,0.47,-0.08,-0.24,-0.06,0.59,0.53,0.61,0.68,0.51,0.65,0.57,0.47,0.48,0.55,0.72,0.38,0.65,0.68,0.71,0.74,0.71,1,AC Asia ex-Japan Equity,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.075,0.0866,0.16,0.08,0.04,-0.05,0.36,0.21,0.26,-0.12,0.19,0.59,0.46,-0.02,-0.18,0,0.55,0.5,0.58,0.58,0.52,0.6,0.56,0.47,0.48,0.56,0.68,0.41,0.62,0.67,0.66,0.72,0.68,0.96,1,AC World Equity,,,,,,,,,,,
Equities,AC World Equity,0.0525,0.0584,0.1125,0.055,0.07,-0.19,0.3,0.17,0.21,-0.22,0.06,0.55,0.49,-0.1,-0.08,-0.05,0.42,0.47,0.47,0.6,0.92,0.79,0.89,0.79,0.88,0.91,0.93,0.65,0.88,0.99,0.82,0.96,0.83,0.76,0.74,1,Private Equity,,,,,,,,,,
Alts,Private Equity,0.065,0.0805,0.185,0.0675,0.04,-0.16,0.23,0.13,0.16,-0.18,0.04,0.44,0.4,-0.08,-0.03,-0.03,0.31,0.37,0.35,0.47,0.82,0.67,0.78,0.69,0.79,0.8,0.82,0.53,0.77,0.86,0.69,0.82,0.7,0.57,0.56,0.86,1,U.S. REITs,,,,,,,,,
Alts,U.S. REITs,0.055,0.0651,0.1475,0.0475,-0.07,-0.18,0.28,0.31,0.22,0.07,0.3,0.44,0.35,0.22,0.12,0.24,0.39,0.44,0.31,0.3,0.67,0.53,0.72,0.67,0.69,0.62,0.55,0.4,0.48,0.66,0.51,0.58,0.48,0.4,0.41,0.65,0.57,1,U.S. Direct Real Estate,,,,,,,,
Alts,U.S. Direct Real Estate,0.045,0.05,0.1025,0.0425,-0.03,-0.07,0.07,0.08,0.06,0,0.08,0.16,0.12,0.06,0.04,0.07,0.12,0.16,0.09,0.11,0.28,0.21,0.3,0.28,0.29,0.26,0.22,0.16,0.18,0.27,0.2,0.23,0.19,0.15,0.15,0.26,0.23,0.4,1,Global Infrastructure,,,,,,,
Alts,Global Infrastructure,0.055,0.0626,0.1275,0.05,0.1,-0.08,0.07,0.05,0.06,-0.05,0.02,0.13,0.12,-0.02,0,-0.01,0.08,0.12,0.09,0.15,0.3,0.23,0.29,0.27,0.29,0.29,0.23,0.16,0.22,0.29,0.22,0.24,0.2,0.16,0.16,0.28,0.25,0.24,0.3,1,Diversified Hedge Funds hedged,,,,,,
Alts,Diversified Hedge Funds hedged,0.04,0.0427,0.075,0.035,0.2,-0.09,0.15,-0.07,0.13,-0.43,-0.12,0.6,0.48,-0.35,-0.54,-0.29,0.35,0.03,0.44,0.72,0.43,0.66,0.52,0.43,0.4,0.49,0.59,0.31,0.62,0.57,0.73,0.59,0.75,0.63,0.57,0.6,0.47,0.16,0.06,0.13,1,Event Driven Hedge Funds hedged,,,,,
Alts,Event Driven Hedge Funds hedged,0.045,0.0488,0.09,0.0475,0.2,-0.19,0.15,-0.16,0.09,-0.48,-0.14,0.77,0.56,-0.42,-0.6,-0.36,0.46,0.08,0.57,0.81,0.48,0.8,0.6,0.56,0.5,0.5,0.64,0.29,0.65,0.61,0.84,0.62,0.81,0.68,0.6,0.65,0.52,0.28,0.11,0.16,0.88,1,Long Bias Hedge Funds hedged,,,,
Alts,Long Bias Hedge Funds hedged,0.045,0.0502,0.105,0.045,0.18,-0.14,0.13,-0.14,0.08,-0.43,-0.1,0.75,0.55,-0.39,-0.62,-0.33,0.52,0.11,0.6,0.85,0.49,0.86,0.61,0.57,0.49,0.52,0.67,0.3,0.65,0.64,0.89,0.66,0.85,0.77,0.7,0.69,0.54,0.29,0.11,0.16,0.87,0.94,1,Relative Value Hedge Funds hedged,,,
Alts,Relative Value Hedge Funds hedged,0.0425,0.0448,0.07,0.0425,0.2,-0.15,0.29,-0.08,0.15,-0.41,-0.01,0.84,0.65,-0.34,-0.57,-0.29,0.54,0.13,0.64,0.73,0.38,0.67,0.5,0.42,0.39,0.41,0.57,0.28,0.61,0.53,0.74,0.57,0.75,0.66,0.6,0.57,0.44,0.25,0.09,0.13,0.85,0.92,0.86,1,Macro Hedge Funds hedged,,
Alts,Macro Hedge Funds hedged,0.035,0.0377,0.075,0.04,-0.02,0.19,0.14,0.17,0.21,0.12,0.19,0.15,0.02,0.18,-0.08,0.2,0.22,0.1,0.19,0.36,0.01,0.2,0.04,-0.04,-0.02,0.05,0.19,0.04,0.19,0.12,0.23,0.18,0.23,0.28,0.23,0.15,0.09,0.01,-0.01,0,0.53,0.28,0.36,0.27,1,Commodities,
Alts,Commodities,0.03,0.0387,0.135,0.025,0.28,-0.01,0.16,0.03,0.27,0,0.07,0.2,0.07,-0.12,0.04,-0.15,0.15,0.26,0.22,0.41,0.16,0.15,0.2,0.11,0.15,0.17,0.28,0.07,0.35,0.24,0.14,0.27,0.1,0.33,0.24,0.27,0.2,0.04,0.01,0.07,0.33,0.31,0.3,0.32,0.28,1,Gold
Alts,Gold,0.0325,0.0464,0.1725,0.0275,0.06,0.12,0.24,0.36,0.21,0.49,0.42,-0.18,-0.25,0.39,0.42,0.32,0.09,0.27,0.07,-0.1,-0.27,-0.36,-0.25,-0.3,-0.29,-0.21,-0.2,-0.19,-0.19,-0.24,-0.39,-0.2,-0.41,-0.08,-0.09,-0.23,-0.22,-0.09,-0.05,-0.07,-0.15,-0.27,-0.23,-0.21,0.27,0.35,1
