,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Korean Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds hedged,0.0225,0.0258,0.0825,0.015,0.15,-0.04,0.21,0.17,-0.33,0.5,-0.08,0.33,-0.22,0.45,-0.34,0.48,-0.31,0.2,0.15,0.11,0.47,0.45,0.06,0.91,0.21,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0425,0.0505,0.13,0.0525,0.09,0.05,-0.07,0.11,0.71,0.33,0.57,0.2,0.78,0,0.78,0.04,0.79,-0.13,0.36,0,0.14,0.23,0.71,0.05,0.72,-0.1,1,Emerging Markets Sovereign Debt hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt hedged,0.0525,0.057,0.0975,0.0525,0.15,-0.17,0.24,0.26,-0.48,0.26,-0.3,0.12,-0.28,0.47,-0.34,0.68,0.01,0.68,0.27,0.55,0.69,0.48,-0.32,0.56,-0.22,0.53,0.13,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0425,0.049,0.1175,0.0525,0.01,0.04,-0.18,-0.13,0.73,0.13,0.55,0.13,0.76,-0.03,0.85,0.06,0.86,-0.13,0.42,0.04,0,0.14,0.7,-0.17,0.65,-0.22,0.9,-0.02,1,Emerging Markets Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Corporate Bonds hedged,0.0525,0.0565,0.0925,0.0525,0.16,-0.2,0.09,0.24,-0.4,0.22,-0.3,0.02,-0.17,0.43,-0.22,0.71,0.15,0.69,0.41,0.6,0.65,0.37,-0.28,0.51,-0.19,0.43,0.16,0.85,0.06,1,Korean Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Korean Equity ,0.0775,0.0901,0.1675,0.08,0.12,-0.24,-0.03,0.01,-0.57,-0.19,-0.56,-0.28,-0.44,0.1,-0.49,0.23,-0.08,0.57,0.18,0.54,0.3,-0.06,-0.53,0.12,-0.45,0.16,-0.22,0.42,-0.24,0.44,1,U.S. Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap,0.045,0.0512,0.115,0.06,-0.04,-0.06,-0.26,-0.1,0.15,-0.13,-0.04,-0.26,0.21,-0.15,0.26,0.01,0.6,0.25,0.46,0.31,0.05,-0.09,0.11,-0.12,0.13,-0.17,0.43,0.12,0.44,0.24,0.24,1,U.S. Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap hedged,0.055,0.0647,0.145,0.06,0.05,-0.23,-0.05,0.02,-0.67,-0.15,-0.63,-0.35,-0.52,0.13,-0.57,0.25,-0.06,0.67,0.22,0.61,0.4,-0.01,-0.6,0.2,-0.5,0.22,-0.24,0.52,-0.3,0.51,0.61,0.59,1,European Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,European Large Cap,0.055,0.0668,0.16,0.0675,0.04,-0.03,-0.29,-0.18,-0.12,-0.14,-0.26,-0.31,-0.01,-0.04,-0.01,0.15,0.38,0.36,0.54,0.49,0.15,-0.05,-0.05,0.05,0.02,0.11,0.24,0.26,0.26,0.33,0.41,0.71,0.59,1,European Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,European Large Cap hedged,0.0625,0.0789,0.19,0.065,0.07,-0.16,-0.12,-0.09,-0.73,-0.2,-0.68,-0.34,-0.6,0.13,-0.61,0.36,-0.11,0.7,0.39,0.66,0.38,0.01,-0.58,0.28,-0.48,0.37,-0.29,0.6,-0.32,0.56,0.64,0.4,0.87,0.68,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.0575,0.0693,0.16,0.07,0.05,-0.05,-0.3,-0.19,-0.24,-0.19,-0.34,-0.31,-0.19,-0.07,-0.12,0.22,0.29,0.43,0.65,0.51,0.15,-0.06,-0.15,0.11,-0.09,0.16,0.1,0.36,0.12,0.39,0.44,0.67,0.65,0.85,0.8,1,Euro area Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
