,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),UK Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Small Cap,0.0575,0.0693,0.16,0.0675,0.14,-0.21,-0.03,0,0.29,0.42,0.37,0.65,0.61,0.55,-0.1,-0.16,0.05,-0.24,-0.3,-0.24,-0.3,0.48,0.27,0.54,0.84,0.79,1,U.S. Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap,0.0475,0.056,0.135,0.05,0.07,-0.18,0.04,0.08,0.19,0.28,0.3,0.47,0.56,0.32,0.04,0.06,0.25,-0.04,0.14,-0.05,0.14,0.38,0.56,0.37,0.78,0.78,0.62,1,U.S. Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap hedged,0.0525,0.0616,0.14,0.06,0.14,-0.21,-0.02,-0.03,0.25,0.39,0.32,0.69,0.63,0.54,-0.11,-0.21,0.05,-0.25,-0.33,-0.25,-0.33,0.51,0.34,0.54,0.85,0.84,0.76,0.79,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.06,0.0764,0.19,0.06,0.03,-0.08,0.11,0.06,0.34,0.36,0.39,0.61,0.78,0.39,0.01,-0.04,0.19,-0.08,-0.02,-0.08,-0.02,0.58,0.55,0.55,0.89,0.88,0.75,0.76,0.8,1,Euro area Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap hedged,0.0625,0.0753,0.1675,0.0675,0.07,-0.19,-0.02,0.04,0.29,0.44,0.41,0.67,0.59,0.57,-0.05,-0.18,0.07,-0.23,-0.35,-0.23,-0.35,0.49,0.3,0.53,0.87,0.85,0.79,0.66,0.84,0.88,1,Euro area Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Small Cap,0.0625,0.081,0.2025,0.065,0.03,-0.12,0.09,0.04,0.34,0.37,0.38,0.63,0.8,0.42,-0.02,-0.09,0.15,-0.11,-0.03,-0.11,-0.03,0.56,0.51,0.56,0.86,0.83,0.84,0.69,0.74,0.93,0.8,1,Euro area Small Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Small Cap hedged,0.065,0.0793,0.1775,0.0725,0.08,-0.23,-0.04,0.01,0.3,0.44,0.41,0.68,0.63,0.61,-0.08,-0.22,0.03,-0.26,-0.36,-0.26,-0.36,0.47,0.26,0.54,0.84,0.8,0.89,0.59,0.77,0.81,0.92,0.89,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.055,0.0635,0.135,0.045,-0.04,-0.13,0.09,0.11,0.3,0.31,0.31,0.38,0.42,0.24,0.07,0.02,0.22,-0.01,0.11,-0.01,0.11,0.33,0.47,0.36,0.58,0.58,0.45,0.62,0.47,0.57,0.52,0.55,0.5,1,Japanese Equity hedged,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity hedged,0.0625,0.0784,0.1875,0.0575,0.12,-0.21,-0.22,-0.09,0.11,0.27,0.21,0.49,0.36,0.47,-0.16,-0.33,-0.04,-0.38,-0.55,-0.38,-0.55,0.26,0.11,0.35,0.59,0.57,0.59,0.45,0.65,0.55,0.69,0.52,0.65,0.69,1,AC Asia ex-Japan Equity,,,,,,,,,,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.075,0.0908,0.1875,0.08,-0.01,-0.01,0.2,0.13,0.44,0.42,0.36,0.62,0.68,0.39,0.06,0.03,0.21,0,0.02,0,0.02,0.62,0.66,0.61,0.73,0.73,0.61,0.66,0.65,0.73,0.63,0.72,0.63,0.53,0.44,1,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.0725,0.0887,0.19,0.08,0.05,0,0.18,0.08,0.42,0.4,0.34,0.64,0.73,0.42,0.01,-0.01,0.22,-0.04,0.01,-0.05,0.01,0.65,0.7,0.63,0.76,0.76,0.63,0.67,0.68,0.76,0.64,0.76,0.65,0.53,0.45,0.97,1,AC World Equity,,,,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.0525,0.061,0.135,0.055,0.07,-0.13,0.11,0.09,0.34,0.38,0.39,0.61,0.72,0.41,0.03,0.01,0.25,-0.05,0.07,-0.06,0.07,0.56,0.65,0.55,0.9,0.9,0.73,0.94,0.84,0.89,0.78,0.84,0.74,0.69,0.55,0.82,0.85,1,AC World ex-UK Equity,,,,,,,,,,,,,,,,,,
Equities,AC World ex-UK Equity,0.0525,0.061,0.135,0.055,0.06,-0.12,0.11,0.09,0.33,0.37,0.38,0.6,0.71,0.39,0.04,0.02,0.25,-0.04,0.09,-0.05,0.09,0.55,0.65,0.54,0.88,0.88,0.72,0.94,0.83,0.89,0.77,0.84,0.72,0.7,0.55,0.83,0.85,1,1,Developed World Equity,,,,,,,,,,,,,,,,,
Equities,Developed World Equity,0.0525,0.0607,0.1325,0.0525,0.07,-0.14,0.1,0.09,0.31,0.37,0.38,0.59,0.7,0.39,0.04,0.02,0.25,-0.05,0.08,-0.06,0.08,0.53,0.62,0.52,0.9,0.9,0.72,0.96,0.84,0.89,0.78,0.83,0.73,0.7,0.55,0.77,0.79,1,0.99,1,Global Convertible Bond hedged,,,,,,,,,,,,,,,,
Equities,Global Convertible hedged,0.0475,0.0518,0.095,,0.04,-0.12,0.06,0.05,0.44,0.53,0.4,0.82,0.73,0.66,-0.06,-0.22,0.04,-0.24,-0.38,-0.23,-0.38,0.63,0.34,0.7,0.86,0.83,0.83,0.63,0.85,0.8,0.86,0.81,0.86,0.51,0.69,0.75,0.77,0.79,0.77,0.77,1,Global Credit Sensitive Convertible hedged,,,,,,,,,,,,,,,
Equities,Global Credit Sensitive Convertible hedged,0.04,0.0419,0.0625,,0.13,-0.27,-0.04,0.08,0.17,0.33,0.36,0.26,0.29,0.32,-0.01,-0.14,-0.07,-0.13,-0.16,-0.12,-0.16,0.17,0.08,0.27,0.38,0.39,0.32,0.21,0.36,0.31,0.4,0.3,0.4,0.19,0.27,0.2,0.22,0.28,0.26,0.28,0.38,1,Private Equity,,,,,,,,,,,,,,
Alts,Private Equity,0.065,0.0848,0.21,0.0675,0.07,-0.13,0.08,0.05,0.28,0.32,0.33,0.55,0.63,0.38,0,0,0.21,-0.07,0.02,-0.08,0.03,0.47,0.51,0.46,0.79,0.78,0.67,0.8,0.74,0.79,0.7,0.76,0.67,0.56,0.47,0.66,0.68,0.85,0.85,0.85,0.69,0.24,1,U.S. Direct Real Estate,,,,,,,,,,,,,
Alts,U.S. Direct Real Estate,0.045,0.0523,0.125,0.0425,0.01,-0.06,0.1,0.07,0.14,0.13,0.16,0.2,0.2,0.1,0.06,0.08,0.14,0.07,0.06,0.06,0.06,0.18,0.22,0.13,0.24,0.24,0.19,0.3,0.25,0.24,0.21,0.23,0.19,0.19,0.11,0.21,0.21,0.29,0.29,0.29,0.19,0.03,0.26,1,European Direct Real Estate,,,,,,,,,,,,
Alts,European Direct Real Estate,0.05,0.0582,0.1325,0.05,0.03,-0.07,-0.01,-0.02,0.1,0.13,0.15,0.28,0.27,0.21,-0.04,-0.05,0.06,-0.09,-0.1,-0.09,-0.1,0.21,0.17,0.2,0.38,0.37,0.33,0.32,0.36,0.4,0.41,0.37,0.38,0.24,0.28,0.29,0.29,0.37,0.36,0.37,0.35,0.12,0.33,0.3,1,European Non-Prime Real Estate,,,,,,,,,,,
Alts,European Non-Prime Real Estate,0.0675,0.0785,0.155,0.07,0.03,-0.07,-0.01,-0.02,0.11,0.13,0.15,0.29,0.27,0.21,-0.05,-0.06,0.06,-0.1,-0.11,-0.1,-0.11,0.21,0.17,0.2,0.39,0.38,0.34,0.33,0.37,0.41,0.42,0.38,0.39,0.25,0.29,0.29,0.3,0.38,0.37,0.38,0.36,0.12,0.34,0.3,0.98,1,UK Core Real Estate,,,,,,,,,,
Alts,UK Core Real Estate,0.0475,0.0567,0.14,0.0525,0.06,-0.06,0,-0.02,0.1,0.12,0.1,0.26,0.28,0.19,-0.04,-0.07,0.05,-0.08,-0.04,-0.08,-0.03,0.21,0.22,0.2,0.4,0.4,0.31,0.35,0.35,0.36,0.34,0.34,0.31,0.24,0.22,0.3,0.31,0.38,0.38,0.38,0.33,0.11,0.33,0.35,0.21,0.21,1,U.S. REITs,,,,,,,,,
Alts,U.S. REITs,0.055,0.0683,0.17,0.0475,0,-0.15,0.28,0.22,0.36,0.35,0.43,0.47,0.49,0.24,0.19,0.25,0.37,0.21,0.22,0.19,0.22,0.44,0.57,0.33,0.58,0.59,0.45,0.76,0.58,0.59,0.49,0.56,0.44,0.48,0.25,0.52,0.52,0.72,0.73,0.74,0.45,0.06,0.64,0.4,0.28,0.29,0.29,1,European REITs,,,,,,,,
Alts,European REITs,0.0725,0.0891,0.1925,0.0625,0.03,-0.18,0.23,0.23,0.4,0.47,0.49,0.57,0.62,0.32,0.18,0.1,0.23,0.1,0.01,0.1,0,0.56,0.47,0.48,0.71,0.69,0.68,0.58,0.64,0.75,0.68,0.74,0.67,0.4,0.38,0.5,0.51,0.66,0.65,0.66,0.61,0.27,0.61,0.28,0.32,0.32,0.29,0.68,1,Global Infrastructure,,,,,,,
Alts,Global Infrastructure,0.055,0.0635,0.135,0.05,0.1,-0.06,0.02,0.02,0.06,0.09,0.11,0.15,0.17,0.11,0.01,0.02,0.08,-0.01,0.03,-0.01,0.03,0.12,0.17,0.11,0.24,0.24,0.19,0.3,0.25,0.23,0.2,0.21,0.18,0.18,0.14,0.2,0.2,0.28,0.28,0.29,0.19,0.06,0.25,0.3,0.14,0.15,0.16,0.26,0.2,1,Diversified Hedge Funds hedged,,,,,,
Alts,Diversified Hedge Funds hedged*,0.04,0.0427,0.075,0.0325,0.22,-0.13,-0.13,-0.1,0.19,0.34,0.31,0.59,0.49,0.64,-0.2,-0.3,0.02,-0.36,-0.5,-0.36,-0.5,0.34,0.1,0.43,0.66,0.64,0.69,0.41,0.66,0.55,0.69,0.61,0.76,0.37,0.63,0.53,0.57,0.55,0.54,0.54,0.78,0.42,0.49,0.08,0.26,0.27,0.23,0.17,0.35,0.13,1,Event Driven Hedge Funds hedged,,,,,
Alts,Event Driven Hedge Funds hedged,0.045,0.0488,0.09,0.045,0.22,-0.19,-0.14,-0.13,0.24,0.41,0.32,0.76,0.63,0.75,-0.25,-0.38,-0.03,-0.43,-0.52,-0.43,-0.52,0.46,0.19,0.57,0.75,0.72,0.77,0.51,0.79,0.65,0.76,0.7,0.82,0.38,0.64,0.6,0.65,0.65,0.63,0.63,0.86,0.51,0.58,0.14,0.3,0.31,0.28,0.31,0.47,0.16,0.88,1,Long Bias Hedge Funds hedged,,,,
Alts,Long Bias Hedge Funds hedged,0.045,0.0502,0.105,0.0425,0.17,-0.14,-0.1,-0.13,0.27,0.39,0.29,0.74,0.66,0.65,-0.24,-0.34,-0.03,-0.4,-0.48,-0.39,-0.48,0.51,0.27,0.6,0.8,0.77,0.78,0.56,0.86,0.72,0.79,0.75,0.83,0.44,0.68,0.72,0.76,0.73,0.72,0.7,0.92,0.42,0.63,0.15,0.32,0.33,0.31,0.34,0.49,0.18,0.87,0.93,1,Relative Value Hedge Funds hedged,,,
Alts,Relative Value Hedge Funds hedged,0.0425,0.0448,0.07,0.04,0.17,-0.14,-0.01,-0.05,0.38,0.5,0.39,0.83,0.64,0.85,-0.18,-0.34,0.04,-0.35,-0.52,-0.34,-0.52,0.54,0.21,0.63,0.68,0.66,0.68,0.4,0.67,0.56,0.69,0.6,0.75,0.36,0.6,0.58,0.63,0.56,0.55,0.54,0.84,0.44,0.5,0.12,0.26,0.27,0.24,0.27,0.43,0.13,0.85,0.92,0.86,1,Macro Hedge Funds hedged,,
Alts,Macro Hedge Funds hedged,0.035,0.0377,0.075,0.0375,0.02,0.21,0.2,0.21,0.26,0.21,0.25,0.15,0.24,0.04,0.18,0.18,0.2,0.19,0.12,0.18,0.11,0.22,0.23,0.19,0.29,0.3,0.19,0.13,0.19,0.25,0.2,0.27,0.24,0.16,0.08,0.29,0.33,0.25,0.25,0.23,0.29,0.13,0.19,0.03,0.08,0.08,0.1,0.07,0.12,0.04,0.52,0.28,0.35,0.27,1,Commodities,
Alts,Commodities,0.03,0.0396,0.1425,0.025,0.16,0.03,0.1,-0.11,0.19,0.07,0.08,0.3,0.39,0.2,-0.14,-0.08,0.15,-0.08,0.09,-0.08,0.1,0.31,0.41,0.32,0.38,0.4,0.22,0.31,0.29,0.3,0.14,0.32,0.18,0.15,0.04,0.39,0.48,0.4,0.4,0.38,0.31,0.17,0.33,0.08,0.08,0.08,0.17,0.21,0.17,0.1,0.35,0.37,0.41,0.36,0.38,1,Gold
Alts,Gold,0.0325,0.0493,0.19,0.0275,-0.15,0.17,0.43,0.2,0.29,0.07,0.13,-0.07,0.1,-0.25,0.2,0.37,0.27,0.4,0.51,0.39,0.5,0.22,0.43,0.16,-0.04,-0.02,-0.14,0,-0.21,-0.05,-0.26,-0.02,-0.21,-0.04,-0.42,0.13,0.16,0.03,0.04,0.01,-0.1,-0.11,0,0.03,-0.09,-0.09,-0.02,0.1,-0.04,-0.01,-0.11,-0.18,-0.11,-0.13,0.35,0.44,1
