6/30/1999,-0.70,1.98,2.33,1.75
7/30/1999,0.06,1.58,1.35,0.31
8/31/1999,-1.90,-0.21,2.30,-2.53
9/30/1999,-3.34,-0.23,2.67,0.77
10/29/1999,-2.61,1.02,3.62,-2.58
11/30/1999,-2.84,0.57,1.64,1.26
12/31/1999,-1.11,0.28,4.98,-0.28
1/31/2000,-4.68,-2.54,3.28,0.40
2/29/2000,-9.67,-1.01,7.35,2.10
3/31/2000,11.25,6.13,-6.74,2.84
4/28/2000,11.47,10.24,0.56,-5.71
5/31/2000,6.57,2.27,-5.77,-0.11
6/30/2000,-7.09,-4.48,7.42,4.55
7/31/2000,3.00,1.56,0.10,-2.22
8/31/2000,1.86,2.00,0.96,-0.20
9/29/2000,-0.15,1.08,2.14,-3.93
10/31/2000,6.75,6.00,-1.24,-5.91
11/30/2000,8.28,6.32,-4.74,-2.50
12/29/2000,3.68,0.54,0.76,1.30
1/31/2001,6.27,0.04,-12.28,6.56
2/28/2001,4.17,1.13,-1.62,-0.11
3/30/2001,3.52,2.20,-2.99,0.27
4/30/2001,1.09,1.85,0.42,-0.93
5/31/2001,1.81,-0.59,-0.61,2.87
6/29/2001,2.29,1.68,2.85,1.11
7/31/2001,3.42,2.77,-1.60,-2.97
8/31/2001,2.13,2.10,-0.42,1.13
9/28/2001,-1.89,-0.06,-0.06,-1.34
10/31/2001,-0.27,0.66,-3.23,5.83
11/30/2001,1.43,-0.12,-4.30,1.53
12/31/2001,1.63,0.85,-0.24,3.42
1/31/2002,4.08,4.20,0.68,-0.80
2/28/2002,3.29,3.52,-0.17,-0.50
3/29/2002,1.88,0.23,-1.86,2.30
4/30/2002,3.49,1.80,3.76,1.46
5/31/2002,3.60,2.06,0.97,-2.53
6/28/2002,0.05,2.01,3.52,-0.82
7/31/2002,-0.61,0.84,1.34,-5.18
8/30/2002,1.51,0.34,-1.02,1.18
9/30/2002,-2.85,2.68,5.28,-1.44
10/31/2002,-0.85,0.77,-4.07,-0.27
11/29/2002,3.05,-3.24,-8.14,4.52
12/31/2002,1.76,1.67,2.94,-1.30
1/31/2003,-0.23,-1.71,0.73,0.53
2/28/2003,-1.80,0.55,2.32,-2.95
3/31/2003,-0.37,1.32,2.04,0.84
4/30/2003,2.43,-0.85,-3.81,4.81
5/30/2003,2.67,-1.48,-1.27,4.91
6/30/2003,1.30,-1.16,-0.74,1.66
7/31/2003,0.33,-0.34,-1.45,3.31
8/29/2003,-0.62,-0.53,-1.06,2.63
9/30/2003,0.35,0.22,0.76,0.40
10/31/2003,-1.50,-0.40,1.94,2.68
11/28/2003,1.06,0.34,-0.38,0.41
12/31/2003,4.30,0.38,-3.75,-0.97
1/30/2004,-0.19,-1.35,-1.17,2.30
2/27/2004,1.64,0.81,-0.89,-0.13
3/31/2004,1.33,0.52,-0.14,1.20
4/30/2004,0.75,1.85,-2.63,-2.75
5/31/2004,0.53,0.55,0.61,-0.70
6/30/2004,1.89,1.23,0.74,1.38
7/30/2004,1.00,0.92,1.04,-1.68
8/31/2004,1.56,0.09,-1.07,-0.94
9/30/2004,0.29,0.30,1.98,0.04
10/29/2004,-0.05,0.43,-0.68,-0.76
11/30/2004,1.40,-0.11,-0.29,1.74
12/31/2004,1.17,0.07,-0.19,-0.79
1/31/2005,0.31,0.59,1.00,1.02
2/28/2005,2.46,0.68,0.57,-0.90
3/31/2005,1.55,1.40,0.15,-0.43
4/29/2005,0.29,0.59,-0.04,-2.05
5/31/2005,-0.22,-0.23,-0.42,1.77
6/30/2005,0.05,-0.70,-0.14,1.50
7/29/2005,0.16,0.17,0.21,1.03
8/31/2005,0.56,0.11,0.45,-0.69
9/30/2005,-1.10,-0.78,2.89,-1.81
10/31/2005,-1.12,0.76,0.52,-0.71
11/30/2005,-0.08,-0.01,-0.06,0.27
12/30/2005,-1.97,-0.90,0.22,0.65
1/31/2006,-1.38,-0.15,1.99,1.64
2/28/2006,1.49,0.53,-0.57,-1.62
3/31/2006,-0.89,-0.35,0.06,1.70
