,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Taiwan Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt hedged,0.0425,0.0468,0.095,-0.08,0.08,0.1,-0.34,0.23,-0.02,0.15,0.13,0.58,0.11,0.78,0.49,0.72,0.58,0.53,0.34,0.77,0.16,0.55,0.28,0.57,0.71,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0425,0.0455,0.08,-0.03,-0.27,0.08,0.3,-0.01,0.21,0.11,0.52,0.24,0.77,0.55,0.71,0.43,0.49,0.47,0.5,0.53,0.32,0.03,0.28,0.02,0.88,0.54,1,Emerging Markets Corporate Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds hedged,0.0425,0.0457,0.0825,-0.02,-0.04,-0.01,-0.39,0.13,-0.15,0.02,0.06,0.5,0.12,0.81,0.51,0.75,0.63,0.66,0.39,0.76,0.02,0.44,0.14,0.46,0.58,0.89,0.64,1,Taiwan Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Taiwan Equity ,0.0825,0.0974,0.1825,0,0.16,-0.27,-0.6,-0.2,-0.36,-0.21,-0.32,0.09,-0.25,0.31,0.36,0.6,0.52,0.56,0.16,0.33,-0.27,0.18,-0.14,0.23,0.11,0.47,0.09,0.48,1,U.S. Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap,0.045,0.0521,0.1225,0.05,-0.02,-0.23,-0.36,-0.37,-0.34,-0.34,-0.17,-0.08,0.01,0.17,0.59,0.59,0.57,0.56,0.32,0.23,-0.19,-0.04,-0.1,0.03,0.31,0.39,0.35,0.42,0.53,1,U.S. Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap hedged,0.045,0.0545,0.1425,0.06,0.08,-0.26,-0.62,-0.26,-0.46,-0.34,-0.34,0.07,-0.26,0.29,0.46,0.69,0.59,0.6,0.25,0.32,-0.29,0.15,-0.15,0.22,0.17,0.52,0.17,0.56,0.65,0.93,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.0575,0.0739,0.19,0.05,0.06,-0.16,-0.46,-0.24,-0.36,-0.3,-0.23,0.05,-0.07,0.34,0.51,0.63,0.77,0.6,0.42,0.35,-0.08,0.22,0.05,0.29,0.34,0.55,0.31,0.56,0.61,0.79,0.82,1,Euro area Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap hedged,0.055,0.0683,0.17,0.05,0.06,-0.25,-0.53,-0.29,-0.41,-0.32,-0.29,0.01,-0.13,0.31,0.5,0.66,0.57,0.7,0.29,0.37,-0.35,0.01,-0.25,0.06,0.25,0.5,0.26,0.54,0.62,0.79,0.84,0.89,1,UK Large Cap,,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap,0.0525,0.0633,0.1525,0.08,-0.07,-0.23,-0.42,-0.34,-0.4,-0.36,-0.17,0.02,0.03,0.33,0.61,0.66,0.75,0.68,0.59,0.34,-0.1,0.12,0.03,0.2,0.38,0.52,0.41,0.55,0.57,0.82,0.8,0.87,0.81,1,UK Large Cap hedged,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap hedged,0.0475,0.056,0.135,-0.01,0.07,-0.22,-0.5,-0.2,-0.32,-0.22,-0.25,0.09,-0.1,0.38,0.49,0.67,0.55,0.57,0.12,0.42,-0.2,0.16,-0.08,0.21,0.33,0.6,0.29,0.6,0.64,0.79,0.84,0.82,0.85,0.84,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.0525,0.0607,0.1325,0.03,-0.12,-0.17,-0.29,-0.3,-0.2,-0.18,-0.08,0,0.12,0.28,0.5,0.5,0.46,0.48,0.38,0.31,-0.12,-0.01,-0.06,0.04,0.29,0.35,0.35,0.41,0.37,0.59,0.56,0.6,0.61,0.63,0.55,1,Japanese Equity hedged,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity hedged,0.055,0.0706,0.185,0.06,-0.04,-0.31,-0.49,-0.43,-0.42,-0.38,-0.32,-0.14,-0.12,0.12,0.41,0.5,0.43,0.52,0.29,0.17,-0.48,-0.23,-0.42,-0.19,0.11,0.28,0.2,0.37,0.5,0.64,0.65,0.63,0.69,0.63,0.58,0.85,1,EAFE Equity,,,,,,,,,,,,,,,,,,,,
Equities,EAFE Equity,0.0525,0.0626,0.1475,0.06,0.01,-0.2,-0.48,-0.29,-0.37,-0.3,-0.19,0.07,-0.02,0.37,0.59,0.69,0.77,0.66,0.49,0.39,-0.09,0.19,0.04,0.27,0.39,0.59,0.38,0.6,0.63,0.83,0.85,0.95,0.87,0.94,0.85,0.75,0.73,1,EAFE Equity hedged,,,,,,,,,,,,,,,,,,,
Equities,EAFE Equity hedged,0.0525,0.0662,0.1725,0.06,0.08,-0.22,-0.66,-0.21,-0.45,-0.3,-0.32,0.17,-0.23,0.43,0.46,0.74,0.73,0.66,0.4,0.44,-0.19,0.32,-0.01,0.39,0.25,0.65,0.22,0.67,0.7,0.76,0.88,0.92,0.87,0.88,0.86,0.68,0.7,0.96,1,Developed World Equity,,,,,,,,,,,,,,,,,,
Equities,Developed World Equity,0.05,0.0579,0.13,0.07,0,-0.24,-0.45,-0.36,-0.39,-0.35,-0.2,0,-0.01,0.29,0.62,0.68,0.71,0.65,0.43,0.32,-0.15,0.09,-0.03,0.16,0.36,0.51,0.38,0.54,0.62,0.95,0.93,0.9,0.87,0.92,0.86,0.69,0.71,0.96,0.9,1,Developed World Equity hedged,,,,,,,,,,,,,,,,,
